00000,10.0,25.0,1.0
00001,2.0,7.0,1.0
00002,13.0,22.0,1.0
00003,1.0,19.0,1.0
00004,0.0,14.0,1.0
00005,19.0,29.0,1.0
00006,7.0,25.0,1.0
00007,9.0,22.0,1.0
00008,9.0,14.0,1.0
00009,11.0,24.0,1.0
00010,14.0,24.0,1.0
00011,2.0,6.0,1.0
00012,14.0,25.0,1.0
00013,6.0,24.0,1.0
00014,5.0,17.0,1.0
00015,4.0,11.0,1.0
00016,10.0,23.0,1.0
00017,2.0,20.0,1.0
00018,10.0,26.0,1.0
00019,18.0,26.0,1.0
00020,5.0,20.0,1.0
00021,5.0,10.0,1.0
00022,14.0,27.0,1.0
00023,5.0,11.0,1.0
00024,19.0,35.0,1.0
00025,13.0,25.0,1.0
00026,5.0,20.0,1.0
00027,17.0,33.0,1.0
00028,15.0,23.0,1.0
00029,1.0,18.0,1.0
00030,5.0,15.0,1.0
00031,6.0,13.0,1.0
00032,17.0,23.0,1.0
00033,17.0,35.0,1.0
00034,5.0,10.0,1.0
00035,6.0,26.0,1.0
00036,12.0,23.0,1.0
00037,11.0,29.0,1.0
00038,13.0,31.0,1.0
00039,8.0,19.0,1.0
00040,8.0,24.0,1.0
00041,5.0,13.0,1.0
00042,4.0,19.0,1.0
00043,11.0,15.0,1.0
00044,1.0,10.0,1.0
00045,10.0,16.0,1.0
00046,20.0,33.0,1.0
00047,8.0,24.0,1.0
00048,17.0,34.0,1.0
00049,16.0,21.0,1.0
00050,19.0,36.0,1.0
00051,7.0,19.0,1.0
00052,0.0,6.0,1.0
00053,18.0,37.0,1.0
00054,5.0,16.0,1.0
00055,5.0,11.0,1.0
00056,19.0,30.0,1.0
00057,3.0,17.0,1.0
00058,20.0,34.0,1.0
00059,16.0,29.0,1.0
00060,4.0,9.0,1.0
00061,15.0,22.0,1.0
00062,18.0,36.0,1.0
00063,4.0,8.0,1.0
00064,3.0,6.0,1.0
00065,9.0,17.0,1.0
00066,15.0,33.0,1.0
00067,7.0,21.0,1.0
00068,6.0,26.0,1.0
00069,7.0,23.0,1.0
00070,14.0,33.0,1.0
00071,3.0,18.0,1.0
00072,1.0,8.0,1.0
00073,17.0,30.0,1.0
00074,10.0,27.0,1.0
00075,19.0,28.0,1.0
00076,4.0,21.0,1.0
00077,0.0,8.0,1.0
00078,19.0,37.0,1.0
00079,19.0,36.0,1.0
00080,8.0,15.0,1.0
00081,15.0,25.0,1.0
00082,3.0,10.0,1.0
00083,4.0,24.0,1.0
00084,13.0,20.0,1.0
00085,16.0,29.0,1.0
00086,10.0,26.0,1.0
00087,20.0,39.0,1.0
00088,6.0,20.0,1.0
00089,14.0,28.0,1.0
00090,4.0,10.0,1.0
00091,2.0,17.0,1.0
